Length,Most,Avg,Unique,Lweight,Uweight,Target
47,10,4.6,23,0,0,1
34,8,6,7,0,0,1
120,7,4,93,0,0,1
54,9,6.8,15,0,0,1
72,5,3.8,46,0,0,0
89,4,4,47,0,0,0
66,4,3.2,44,0,0,0
142,12,9.8,59,0,0,0
90,10,6.8,40,0,0,0
80,6,4,40,0,0,0
37,2,1.8,33,0,0,0
54,3,2.4,45,0,0,0
51,4,2.8,38,0,0,0
83,3,3,70,0,0,0
67,7,3.4,47,0,0,0
78,4,4,53,0,0,0
96,7,4.6,58,0.03,0.04,1
86,11,5.6,51,0.03,0.05,0
85,8,3.4,61,0.04,0.06,0
88,7,5,51,0.03,0.06,0
208,30,21.4,38,0.05,0.07,1
208,30,21.4,38,0.05,0.07,1
56,4,2.8,44,0.05,0.09,0
25,6,4,10,0.09,0.14,1
94,28,12.2,25,0.1,0.16,1
89,20,8.2,28,0.11,0.17,0
94,6,3.4,76,0.1,0.17,0
148,16,10.8,68,0.16,0.26,0
175,12,9.6,85,0.21,0.34,1
122,18,11.2,63,0.23,0.38,0
123,8,6.4,61,0.27,0.43,1
15,7,3,3,0.29,0.46,1
27,7,4.8,8,0.32,0.51,0
42,2,1.6,39,0.32,0.52,0
75,5,3.8,56,0.34,0.54,0
86,6,3.8,35,0.62,1,0
24,1,1,24,0.66,1.04,1
35,4,2,30,0.93,1.51,0
34,3,1.6,31,0.96,1.55,0
34,7,4,13,1.12,1.82,0
53,4,2.2,47,1.19,1.93,0
34,2,1.6,31,1.19,1.93,0
49,2,1.4,47,1.37,2.22,0
40,3,2.8,23,1.41,2.23,1
36,12,3.4,24,1.39,2.25,0
38,3,1.6,35,1.48,2.4,0
40,4,3.6,21,1.49,2.42,0
42,2,1.8,38,1.63,2.64,0
27,3,2,22,1.82,2.9,1
44,2,1.4,42,1.81,2.93,0
36,12,7.2,5,1.87,3.03,0
21,13,4.2,5,2,3.17,1
31,4,2,26,1.99,3.22,0
83,21,13.6,13,1.99,3.22,0
40,4,3.4,23,2,3.24,0
37,2,2,31,2,3.24,0
41,6,3.6,22,2.01,3.25,0
37,6,2.2,31,2.03,3.29,0
45,5,2.6,35,2.09,3.38,0
48,4,2.8,39,2.11,3.43,0
72,11,8,37,2.12,3.43,0
71,12,5,40,2.21,3.58,0
34,2,1.2,33,2.21,3.58,0
43,10,4.6,25,2.23,3.62,0
40,2,1.4,38,2.26,3.66,0
25,3,2,20,2.38,3.86,0
61,2,2,49,2.4,3.89,0
46,4,2.4,33,2.41,3.9,0
65,17,6.2,38,2.47,4,0
24,5,2.6,16,2.5,4.05,0
63,7,3.4,42,2.52,4.08,0
41,7,4.8,21,2.51,4.08,0
29,6,3.4,17,2.55,4.12,0
29,2,1.2,28,2.58,4.18,0
46,4,4,24,2.69,4.26,1
41,7,4,26,2.64,4.26,0
92,10,6,42,2.66,4.31,0
37,6,3.4,24,2.67,4.33,0
58,4,2.4,47,2.69,4.37,0
45,2,2,36,2.7,4.37,0
68,9,3.6,52,2.71,4.39,0
40,2,1.2,39,2.76,4.47,0
45,4,3,32,2.78,4.51,0
52,4,2.2,46,2.8,4.54,0
22,2,1.2,21,2.84,4.6,0
36,2,1.6,33,2.84,4.61,0
47,12,5.2,26,2.93,4.65,1
45,9,3.6,32,2.97,4.71,1
43,4,3,33,2.91,4.73,0
115,5,1.8,111,2.93,4.74,0
24,4,2.4,15,3.02,4.79,1
44,7,3.4,32,3.04,4.82,1
45,5,4.4,24,2.98,4.82,0
