,Length,Most,Average,Unique,WeightLength,WeightUnique,Target
0,199,37,14.6,67,99.37,157.67,1
1,108,8,4.4,71,15.95,25.31,1
2,348,34,13.8,182,59.05,93.69,1
3,181,14,7.4,105,31.53,50.03,1
4,109,6,6.0,45,15.87,25.17,1
5,120,14,6.6,58,34.94,55.43,1
6,158,24,14.0,52,72.39,114.85,1
7,39,2,2.0,28,6.73,10.68,1
8,62,4,3.0,42,22.04,34.96,1
9,333,11,9.4,211,82.81,131.39,1
10,306,10,9.2,172,87.58,138.95,1
11,100,5,5.0,74,14.83,23.53,1
12,137,25,10.0,57,45.79,72.65,1
13,179,21,12.0,67,59.95,95.11,1
14,66,9,4.0,42,24.05,38.16,1
15,137,12,7.0,58,60.31,95.69,1
16,84,8,5.6,45,18.88,29.95,1
17,185,39,24.0,53,40.21,63.79,1
18,231,37,21.0,66,168.95,268.06,1
19,146,32,15.6,67,28.19,44.72,1
20,145,11,6.0,107,22.52,35.73,1
21,232,29,14.6,97,91.32,144.89,1
22,123,4,3.2,103,19.31,30.63,1
23,122,16,9.6,56,29.78,47.25,1
24,170,18,10.2,69,85.32,135.36,1
25,171,24,14.4,55,46.04,73.05,1
26,202,38,17.2,92,64.71,102.67,1
27,259,56,23.4,87,121.77,193.2,1
28,94,7,4.8,63,43.67,69.28,1
29,309,49,27.2,110,128.86,204.46,1
30,120,12,8.4,64,54.54,86.54,1
31,143,10,8.0,60,30.15,47.84,1
32,172,10,6.2,115,39.21,62.21,1
33,62,3,2.4,53,19.2,30.46,1
34,103,6,4.8,67,31.54,50.04,1
35,139,14,10.0,47,86.75,137.64,1
36,81,4,3.0,61,15.53,24.64,1
37,114,28,12.6,39,46.8,74.25,1
38,148,13,8.8,58,50.28,79.78,1
39,103,7,4.2,72,23.56,37.38,1
40,51,4,4.0,19,13.65,21.65,1
41,76,9,6.6,32,51.53,81.76,1
42,155,13,8.6,77,57.62,91.43,1
43,139,21,9.2,63,45.41,72.04,1
44,190,19,11.8,75,85.87,136.24,1
45,65,5,3.0,37,5.93,9.41,1
46,117,9,6.2,61,21.35,33.87,1
47,209,15,9.6,84,109.17,173.2,1
48,119,10,6.2,51,23.62,37.47,1
49,81,7,5.4,50,15.22,24.14,1
50,94,10,7.0,51,26.45,41.97,1
51,90,9,5.6,45,15.93,25.28,1
52,116,13,12.2,41,13.63,21.62,1
53,117,3,2.4,101,14.83,23.53,1
54,79,5,4.2,45,26.6,42.21,1
55,207,15,10.2,93,56.84,90.18,1
56,131,12,9.8,40,43.54,69.08,1
57,111,21,12.0,48,50.85,80.68,1
58,195,8,7.6,92,53.21,84.42,1
59,67,8,3.2,56,9.18,14.56,1
60,141,23,10.0,70,35.64,56.54,1
61,128,10,8.2,54,17.84,28.3,1
62,109,7,6.2,44,39.6,62.82,1
63,354,56,24.6,128,132.51,210.24,1
64,65,6,4.0,31,29.47,46.76,1
65,118,12,8.8,71,15.29,24.26,1
66,154,32,11.6,58,55.3,87.74,1
67,210,22,10.6,116,81.61,129.49,1
68,79,4,3.2,53,30.5,48.39,1
69,52,8,5.2,26,35.95,57.04,1
70,121,12,8.0,51,53.4,84.72,1
71,268,16,10.6,162,80.21,127.25,1
72,118,7,7.0,44,31.06,49.28,1
73,78,4,4.0,48,22.74,36.09,1
74,80,10,6.2,45,10.54,16.72,1
75,82,7,5.4,50,20.44,32.43,1
76,80,5,4.2,44,15.2,24.12,1
77,176,16,10.4,98,36.43,57.79,1
78,113,8,5.0,72,35.73,56.69,1
79,170,31,15.2,64,47.72,75.71,1
80,146,15,11.2,57,57.01,90.45,1
81,81,12,5.4,44,31.97,50.72,1
82,76,4,3.2,55,16.28,25.83,1
83,45,9,3.6,32,2.97,4.7,1
84,99,13,7.2,48,37.85,60.04,1
85,166,25,15.2,62,65.05,103.21,1
86,243,35,13.4,129,52.24,82.88,1
87,116,8,6.0,68,43.57,69.12,1
88,138,51,13.6,56,31.49,49.96,1
89,113,15,8.0,65,31.1,49.34,1
90,48,9,4.4,31,4.35,6.91,1
91,201,15,11.2,78,53.29,84.56,1
92,128,15,8.6,55,47.45,75.28,1
93,99,13,8.0,47,39.38,62.49,1
94,168,9,7.6,81,42.44,67.34,1
95,115,12,8.4,52,48.5,76.95,1
96,187,56,27.8,48,147.76,234.43,1
97,64,6,4.2,41,29.38,46.61,1
98,66,5,3.8,40,23.04,36.55,1
99,128,9,5.2,79,41.28,65.5,1
100,129,21,10.4,61,33.0,52.36,1
101,124,9,7.2,60,42.38,67.24,1
102,165,9,7.2,86,61.13,96.99,1
103,145,14,9.8,35,31.26,49.6,1
104,117,8,6.0,44,22.78,36.15,1
105,138,17,7.2,66,60.46,95.93,1
106,69,8,4.2,51,13.21,20.96,1
107,113,10,6.2,74,40.3,63.94,1
108,101,9,4.2,77,23.16,36.74,1
109,158,17,6.6,94,41.73,66.2,1
110,90,13,6.2,55,44.28,70.25,1
111,284,35,23.0,87,44.1,69.97,1
112,146,6,5.8,89,34.58,54.86,1
113,158,13,9.2,54,51.34,81.46,1
114,84,8,5.6,41,19.89,31.56,1
115,81,3,2.8,70,4.23,6.72,1
116,123,20,7.4,68,30.85,48.94,1
117,119,13,10.8,50,37.7,59.81,1
118,110,20,7.4,53,29.64,47.02,1
119,183,15,13.8,58,66.73,105.87,1
120,108,16,11.2,34,32.45,51.49,1
121,126,13,7.8,62,47.29,75.03,1
122,186,20,13.0,74,48.89,77.58,1
123,150,26,19.6,21,19.56,31.03,1
124,211,21,13.6,68,88.41,140.26,1
125,99,35,11.2,30,13.77,21.85,1
126,77,3,2.2,69,9.9,15.7,1
127,147,16,14.8,49,33.24,52.74,1
128,134,7,5.6,82,35.71,56.66,1
129,105,9,8.0,60,23.42,37.15,1
130,72,5,3.0,50,23.87,37.86,1
131,83,3,3.0,66,8.92,14.16,1
132,53,4,2.6,42,18.53,29.4,1
133,118,52,17.0,28,9.89,15.7,1
134,140,15,13.0,72,18.88,29.95,1
135,154,34,15.6,64,54.18,85.97,1
136,181,11,9.4,74,62.26,98.79,1
137,148,24,14.4,56,25.45,40.38,1
138,142,21,12.4,55,96.68,153.39,1
139,62,5,3.8,40,8.83,14.01,1
140,182,13,11.6,87,69.4,110.11,1
141,78,7,4.0,55,18.35,29.11,1
142,199,36,18.4,53,89.04,141.26,1
143,47,6,3.2,35,11.08,17.58,1
144,163,21,13.4,54,46.66,74.03,1
145,70,4,3.0,55,34.01,53.96,1
146,129,12,8.0,60,56.43,89.53,1
