,Length,Most,Average,Unique,WeightLength,WeightUnique,Target
0,67,2,2.0,59,7.0,11.1,0
1,111,11,10.6,52,6.9,10.94,0
2,85,6,3.8,44,18.24,28.94,0
3,184,6,5.0,151,17.89,28.38,0
4,68,8,6.8,38,27.05,42.92,0
5,105,4,3.0,88,17.21,27.31,0
6,93,7,6.0,52,36.14,57.33,0
7,73,10,6.2,37,19.62,31.14,0
8,104,5,3.4,77,6.7,10.63,0
9,176,4,3.2,119,28.92,45.88,0
10,64,13,6.8,32,24.66,39.13,0
11,79,8,6.0,35,6.83,10.83,0
12,114,10,5.8,45,51.16,81.17,0
13,63,4,3.6,37,15.59,24.74,0
14,40,4,3.0,23,7.78,12.35,0
15,145,7,4.6,100,53.13,84.29,0
16,103,10,8.0,35,25.04,39.73,0
17,66,12,8.0,23,17.33,27.5,0
18,167,10,7.2,74,36.92,58.58,0
19,84,19,10.2,33,43.43,68.9,0
20,70,2,2.0,57,4.05,6.43,0
21,56,4,3.0,37,20.68,32.81,0
22,75,9,5.8,34,36.22,57.47,0
23,115,5,3.6,89,8.55,13.56,0
24,95,6,4.0,74,11.6,18.4,0
25,66,3,2.2,60,5.87,9.32,0
26,41,2,1.8,37,0.85,1.35,0
27,137,5,3.2,111,17.22,27.32,0
28,151,16,8.8,85,19.76,31.35,0
29,298,7,6.0,213,54.06,85.78,0
30,95,4,3.4,75,14.68,23.29,0
31,125,13,7.8,58,32.54,51.63,0
32,91,5,4.4,67,22.49,35.69,0
33,239,7,6.0,175,42.94,68.13,0
34,32,2,1.6,29,5.61,8.89,0
35,108,21,11.8,41,45.09,71.53,0
36,68,8,5.0,45,24.94,39.57,0
37,59,5,2.6,51,6.96,11.04,0
38,168,31,13.4,61,22.78,36.14,0
39,45,4,2.4,34,18.38,29.17,0
40,73,5,3.6,46,24.38,38.68,0
41,84,9,6.6,38,20.64,32.75,0
42,125,27,11.6,47,29.4,46.65,0
43,124,25,10.8,52,22.69,36.0,0
44,158,19,11.4,57,46.55,73.86,0
45,133,8,7.2,44,44.27,70.24,0
46,60,6,5.0,30,14.14,22.43,0
47,173,16,11.2,44,55.99,88.83,0
48,108,9,8.0,55,26.73,42.4,0
49,52,6,3.8,35,9.24,14.65,0
50,58,4,2.6,45,12.01,19.06,0
51,104,7,5.4,54,17.3,27.45,0
52,90,8,5.4,51,18.34,29.09,0
53,66,13,7.6,24,14.79,23.47,0
54,65,4,2.8,51,11.08,17.57,0
55,62,7,3.2,48,20.31,32.23,0
56,115,17,10.4,56,14.03,22.26,0
57,57,5,3.4,45,8.31,13.18,0
58,161,20,16.2,60,54.69,86.77,0
59,130,5,4.0,76,27.7,43.95,0
60,173,16,10.4,50,62.59,99.3,0
61,223,17,10.6,140,47.33,75.09,0
62,76,11,5.2,45,17.05,27.05,0
63,132,12,10.6,41,49.04,77.8,0
64,66,15,6.8,33,47.45,75.27,0
65,169,9,7.4,79,56.68,89.93,0
66,107,20,7.8,51,42.49,67.42,0
67,55,7,2.8,46,12.73,20.19,0
68,65,10,6.4,28,27.08,42.97,0
69,249,6,4.4,200,26.16,41.51,0
70,82,10,4.6,54,38.52,61.11,0
71,66,8,4.6,33,29.77,47.22,0
72,132,10,6.6,74,24.54,38.93,0
73,85,6,5.0,43,24.82,39.38,0
74,100,6,4.6,63,26.19,41.55,0
75,73,5,3.4,57,19.07,30.26,0
76,80,5,3.4,55,16.87,26.77,0
77,186,39,23.6,63,37.43,59.38,0
78,79,3,2.2,73,16.01,25.4,0
79,64,13,6.0,31,30.88,49.0,0
