,0,1
0,love,13293
1,dont,10276
2,know,9888
3,like,9380
4,baby,7740
5,youre,5767
6,want,5453
7,yeah,5431
8,make,4892
9,cant,4760
10,time,4581
11,wanna,4267
12,never,4243
13,come,4237
14,girl,4183
15,cause,4130
16,gonna,4068
17,take,3827
18,right,3627
19,back,3466
20,need,3342
21,feel,3269
22,aint,3205
23,night,3180
24,tell,3065
25,give,2829
26,could,2616
27,heart,2522
28,good,2508
29,life,2495
30,thats,2455
31,think,2388
32,away,2340
33,little,2318
34,well,2212
35,keep,2202
36,wont,2030
37,around,2008
38,said,1972
39,world,1875
40,every,1846
41,ever,1834
42,gotta,1741
43,theres,1738
44,long,1725
45,would,1709
46,look,1704
47,mind,1700
48,really,1679
49,still,1616
50,always,1541
51,thing,1518
52,hold,1512
53,better,1508
54,eyes,1494
55,lets,1492
56,turn,1489
57,find,1458
58,tonight,1442
59,much,1410
60,things,1379
61,dance,1376
62,stop,1374
63,call,1364
64,home,1363
65,shes,1317
66,show,1274
67,hear,1217
68,youll,1213
69,without,1199
70,gone,1186
71,rock,1170
72,real,1169
73,leave,1138
74,everything,1115
75,believe,1107
76,live,1083
77,nothing,1080
78,even,1068
79,something,1067
80,stay,1065
81,hard,1057
82,money,1022
83,another,1001
84,head,996
85,sweet,968
86,made,967
87,body,965
88,youve,953
89,mine,953
90,play,951
91,everybody,951
92,shake,950
93,walk,949
94,move,941
95,light,938
96,going,928
97,please,919
98,alone,896
99,talk,890
100,together,884
101,inside,878
102,true,865
103,name,861
104,wrong,859
105,girls,858
106,hands,853
107,break,852
108,people,851
109,place,847
110,touch,846
111,fall,820
112,ride,812
113,feeling,803
114,face,801
115,best,792
116,left,791
117,hand,789
118,didnt,788
119,remember,786
120,bring,785
121,whats,783
122,someone,781
123,shit,777
124,bout,767
125,crazy,763
126,work,762
127,last,748
128,forever,748
129,woman,745
130,change,741
131,song,730
132,nigga,729
133,looking,726
134,kiss,726
135,enough,719
136,thought,711
137,stand,704
138,high,702
139,help,699
140,rain,697
141,told,696
142,side,696
143,lonely,695
144,wait,692
145,beat,692
146,wish,686
147,roll,678
148,close,674
149,mean,672
150,used,669
151,found,667
152,dream,661
153,first,659
154,maybe,656
155,makes,655
156,goes,655
157,friends,650
158,nobody,646
159,round,640
160,start,639
161,care,639
162,must,638
163,knew,635
164,party,633
165,alright,632
166,music,631
167,might,630
168,came,630
169,watch,628
170,comes,628
171,till,622
172,free,622
173,days,618
174,whoa,615
175,babe,613
176,fire,601
177,miss,594
178,friend,593
179,waiting,590
180,lovin,586
181,floor,584
182,game,581
183,lose,575
184,club,571
185,somebody,562
186,lost,562
187,times,561
188,getting,559
189,else,557
190,bitch,556
191,soul,554
192,fuck,553
193,boys,553
194,fine,549
